user_id,session_id,page_url,duration_seconds,event_name
3001,S_101,/home,45,page_view
3001,S_101,/products/sweater,120,view_item
3001,S_101,/cart,30,add_to_cart
3001,S_101,/checkout,45,begin_checkout
3001,S_101,/success,15,purchase
3002,S_102,/home,12,page_view
3002,S_102,/products/shoes,40,view_item
3003,S_103,/home,60,page_view
3003,S_103,/products/sweater,90,view_item
3003,S_103,/cart,15,add_to_cart
3004,S_104,/home,55,page_view
3004,S_104,/products/hat,110,view_item
3004,S_104,/cart,25,add_to_cart
3004,S_104,/checkout,50,begin_checkout
3005,S_105,/home,8,page_view
3006,S_106,/home,32,page_view
3006,S_106,/products/jeans,140,view_item
3006,S_106,/cart,45,add_to_cart
3006,S_106,/checkout,30,begin_checkout
3006,S_106,/success,20,purchase
3007,S_107,/home,15,page_view
